==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
17.6795s  202.02us                    -               -         -         -         -  2.3731MB  11.472GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6810s  100.58us                    -               -         -         -         -  1.1866MB  11.521GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7527s  172.61us            (811 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [13392]
17.7573s  2.1760us                    -               -         -         -         -  202.51KB  88.753GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7574s  17.728us                    -               -         -         -         -  202.51KB  10.894GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7574s  18.208us                    -               -         -         -         -  202.51KB  10.607GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7576s  3.3280us            (811 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13455]
17.7579s  179.78us            (811 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [13457]
17.7608s  2.4640us                    -               -         -         -         -  202.51KB  78.379GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.7608s  17.696us                    -               -         -         -         -  202.51KB  10.914GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.7609s  18.240us                    -               -         -         -         -  202.51KB  10.588GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.7633s  2.1440us                    -               -         -         -         -  51.258KB  22.800GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
